日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2018-03-19,'600053,九鼎投资,26.42,27.09,25.22,26.0,24.63,1.79,7.2676,2.6,11272021
2018-03-20,'600053,九鼎投资,26.61,26.85,25.26,25.54,26.42,0.19,0.7192,1.5377,6666674
2018-03-21,'600053,九鼎投资,27.43,28.99,25.6,26.03,26.61,0.82,3.0815,2.6176,11348383
2018-03-22,'600053,九鼎投资,27.85,28.89,26.99,26.99,27.43,0.42,1.5312,2.0711,8979274
2018-03-23,'600053,九鼎投资,26.01,27.28,25.4,25.88,27.85,-1.84,-6.6068,1.6533,7167560
2018-03-26,'600053,九鼎投资,25.78,26.09,24.01,25.0,26.01,-0.23,-0.8843,1.3715,5945956
2018-03-27,'600053,九鼎投资,27.08,28.36,25.68,26.2,25.78,1.3,5.0427,2.0885,9054603
2018-03-28,'600053,九鼎投资,25.39,26.69,25.25,26.4,27.08,-1.69,-6.2408,1.4054,6092857
2018-03-29,'600053,九鼎投资,26.49,26.75,24.83,25.42,25.39,1.1,4.3324,1.3606,5898547
2018-03-30,'600053,九鼎投资,26.09,26.67,25.88,26.4,26.49,-0.4,-1.51,0.9396,4073567
2018-04-02,'600053,九鼎投资,25.93,26.99,25.58,26.23,26.09,-0.16,-0.6133,0.9457,4100004
2018-04-03,'600053,九鼎投资,25.18,25.35,24.79,24.82,25.93,-0.75,-2.8924,0.6152,2667259
2018-04-04,'600053,九鼎投资,25.07,25.73,24.9,25.26,25.18,-0.11,-0.4369,0.5436,2356839
2018-04-09,'600053,九鼎投资,24.57,24.92,24.35,24.5,25.07,-0.5,-1.9944,0.5103,2212230
2018-04-10,'600053,九鼎投资,24.91,24.97,24.34,24.57,24.57,0.34,1.3838,0.4412,1912920
2018-04-11,'600053,九鼎投资,24.91,25.27,24.72,24.81,24.91,0.0,0.0,0.3967,1719993
2018-04-12,'600053,九鼎投资,26.37,26.6,24.82,24.91,24.91,1.46,5.8611,1.2132,5259695
2018-04-13,'600053,九鼎投资,25.78,26.31,25.72,26.31,26.37,-0.59,-2.2374,0.7116,3085002
2018-04-16,'600053,九鼎投资,24.31,25.7,24.15,25.7,25.78,-1.47,-5.7021,0.8318,3606238
2018-04-17,'600053,九鼎投资,22.94,24.58,22.61,24.31,24.31,-1.37,-5.6355,0.9032,3915900
2018-04-18,'600053,九鼎投资,23.06,23.39,22.3,23.39,22.94,0.12,0.5231,0.4907,2127195
2018-04-19,'600053,九鼎投资,22.87,23.26,22.81,23.06,23.06,-0.19,-0.8239,0.416,1803509
2018-04-20,'600053,九鼎投资,22.18,23.07,22.1,22.78,22.87,-0.69,-3.0171,0.3515,1523700
2018-04-23,'600053,九鼎投资,22.6,22.79,22.14,22.55,22.18,0.42,1.8936,0.2795,1211775
2018-04-24,'600053,九鼎投资,23.16,23.37,22.61,22.74,22.6,0.56,2.4779,0.3607,1563667
2018-04-25,'600053,九鼎投资,23.01,23.12,22.73,23.1,23.16,-0.15,-0.6477,0.242,1049000
2018-04-26,'600053,九鼎投资,22.3,23.17,22.23,23.05,23.01,-0.71,-3.0856,0.2874,1245853
2018-04-27,'600053,九鼎投资,22.11,22.66,22.07,22.11,22.3,-0.19,-0.852,0.253,1097046
2018-05-02,'600053,九鼎投资,22.75,23.0,22.01,22.11,22.11,0.64,2.8946,0.2903,1258701
2018-05-03,'600053,九鼎投资,22.74,22.87,22.29,22.44,22.75,-0.01,-0.044,0.2889,1252437
2018-05-04,'600053,九鼎投资,22.34,23.13,22.3,22.8,22.74,-0.4,-1.759,0.2923,1267284
2018-05-07,'600053,九鼎投资,22.7,22.75,22.22,22.34,22.34,0.36,1.6115,0.2274,985701
2018-05-08,'600053,九鼎投资,23.22,23.4,22.61,22.8,22.7,0.52,2.2907,0.4174,1809557
2018-05-09,'600053,九鼎投资,23.08,23.27,22.9,23.14,23.22,-0.14,-0.6029,0.2364,1025000
2018-05-10,'600053,九鼎投资,23.25,23.6,22.95,22.95,23.08,0.17,0.7366,0.384,1664985
2018-05-11,'600053,九鼎投资,22.98,23.53,22.87,23.28,23.25,-0.27,-1.1613,0.2245,973490
2018-05-14,'600053,九鼎投资,22.39,23.2,22.22,22.9,22.98,-0.59,-2.5674,0.3203,1388733
2018-05-15,'600053,九鼎投资,22.48,22.61,22.05,22.44,22.39,0.09,0.402,0.2321,1006052
2018-05-16,'600053,九鼎投资,22.52,22.76,22.31,22.31,22.48,0.04,0.1779,0.2326,1008280
2018-05-17,'600053,九鼎投资,22.19,22.72,22.1,22.51,22.52,-0.33,-1.4654,0.2174,942598
2018-05-18,'600053,九鼎投资,22.97,23.0,22.1,22.1,22.19,0.78,3.5151,0.3892,1687256
2018-05-21,'600053,九鼎投资,22.8,23.2,22.66,23.01,22.97,-0.17,-0.7401,0.3674,1592876
2018-05-22,'600053,九鼎投资,22.74,22.94,22.57,22.83,22.8,-0.06,-0.2632,0.2445,1059973
2018-05-23,'600053,九鼎投资,22.13,22.8,22.09,22.72,22.74,-0.61,-2.6825,0.337,1461061
2018-05-24,'600053,九鼎投资,22.24,22.44,22.03,22.03,22.13,0.11,0.4971,0.1987,861522
2018-05-25,'600053,九鼎投资,22.1,22.38,22.05,22.24,22.24,-0.14,-0.6295,0.1749,758118
2018-05-28,'600053,九鼎投资,22.39,22.5,21.11,22.1,22.1,0.29,1.3122,0.6017,2608749
2018-05-29,'600053,九鼎投资,22.12,22.65,21.92,22.18,22.39,-0.27,-1.2059,0.5187,2248900
2018-05-30,'600053,九鼎投资,20.24,21.6,20.01,21.32,22.12,-1.88,-8.4991,0.7533,3265685
2018-05-31,'600053,九鼎投资,20.3,20.65,20.11,20.43,20.24,0.06,0.2964,0.2899,1256910
2018-06-01,'600053,九鼎投资,20.11,20.38,19.76,20.29,20.3,-0.19,-0.936,0.2191,949743
2018-06-04,'600053,九鼎投资,19.88,20.19,19.84,20.16,20.11,-0.23,-1.1437,0.1642,711681
2018-06-05,'600053,九鼎投资,20.28,20.39,19.91,20.03,19.88,0.4,2.0121,0.2147,930992
2018-06-06,'600053,九鼎投资,20.08,20.37,19.9,20.37,20.28,-0.2,-0.9862,0.2784,1206995
2018-06-07,'600053,九鼎投资,20.71,21.4,20.04,20.18,20.08,0.63,3.1375,0.4846,2101133
2018-06-08,'600053,九鼎投资,20.28,21.0,20.12,20.4,20.71,-0.43,-2.0763,0.2654,1150471
2018-06-11,'600053,九鼎投资,19.88,20.48,19.8,20.33,20.28,-0.4,-1.9724,0.2553,1106615
2018-06-12,'600053,九鼎投资,20.1,20.13,19.78,19.87,19.88,0.22,1.1066,0.1567,679540
2018-06-13,'600053,九鼎投资,19.8,20.57,19.63,20.57,20.1,-0.3,-1.4925,0.2152,933188
2018-06-14,'600053,九鼎投资,20.17,20.8,19.41,19.68,19.8,0.37,1.8687,0.3539,1534406
2018-06-15,'600053,九鼎投资,19.3,20.17,19.01,19.84,20.17,-0.87,-4.3133,0.2529,1096433
